             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3985936     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985935     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985934     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985933     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985932     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985931     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985930     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985929     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985928     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985927     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985926     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985925     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985924     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985923     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985922     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985921     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985920     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985919     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985918     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985917     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985916     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985915     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985914     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985913     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985912     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985911     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985910     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985909     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985908     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985907     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985829     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985828     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985827     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985826     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985825     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985824     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985823     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985822     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985821     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985820     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985819     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985818     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985817     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985816     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985815     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985814     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985813     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985812     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985811     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985810     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985806     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985805     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985804     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985803     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985802     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985801     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985800     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985799     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985798     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3985797     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986496     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986495     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986494     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986493     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986492     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986491     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986490     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986489     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986488     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986487     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986486     nodes job_scri  jktc627 PD       0:00      1 (Priority)
           3986485     nodes job_scri  jktc627 PD       0:00      1 (Priority)
